"year","Traveller_characteristics","value"
2014,Residents of countries other than the United States of America entering Canada,45232
2014,United States of America residents entering Canada,290428
2014,Canadian-resident visitors returning to Canada,78226
2015,Canadian-resident visitors returning to Canada,67906
2015,United States of America residents entering Canada,292962
2015,Residents of countries other than the United States of America entering Canada,44252
2016,Canadian-resident visitors returning to Canada,73505
2016,United States of America residents entering Canada,301676
2016,Residents of countries other than the United States of America entering Canada,44063
2017,United States of America residents entering Canada,308099
2017,Canadian-resident visitors returning to Canada,82110
2017,Residents of countries other than the United States of America entering Canada,46670
2018,United States of America residents entering Canada,365275
2018,Residents of countries other than the United States of America entering Canada,50802
2018,Canadian-resident visitors returning to Canada,85711
2019,United States of America residents entering Canada,343822
2019,Canadian-resident visitors returning to Canada,98525
2019,Residents of countries other than the United States of America entering Canada,62680
2020,Canadian-resident visitors returning to Canada,4113
2020,Residents of countries other than the United States of America entering Canada,114
2020,United States of America residents entering Canada,26328
2021,Canadian-resident visitors returning to Canada,2331
2021,United States of America residents entering Canada,30745
2021,Residents of countries other than the United States of America entering Canada,26
2022,Canadian-resident visitors returning to Canada,50281
2022,Residents of countries other than the United States of America entering Canada,13408
2022,United States of America residents entering Canada,107224
2023,Canadian-resident visitors returning to Canada,89342
2023,Residents of countries other than the United States of America entering Canada,48154
2023,United States of America residents entering Canada,316527
2024,Canadian-resident visitors returning to Canada,67104
2024,United States of America residents entering Canada,289753
2024,Residents of countries other than the United States of America entering Canada,41857
