"year","geo","value"
2002,Beaver Creek,592648
2002,Little Gold Creek,103770
2003,Pleasant Camp,219165
2003,Fraser,974574
2003,Little Gold Creek,87265
2003,Dawson,48202
2003,Beaver Creek,554759
2003,Whitehorse,45457
2003,Old Crow,155
2004,Old Crow,115
2004,Pleasant Camp,217670
2004,Fraser,1068770
2004,Beaver Creek,547577
2004,Little Gold Creek,71575
2004,Whitehorse,44818
2004,Dawson,39382
2005,Pleasant Camp,216605
2005,Old Crow,170
2005,Little Gold Creek,75485
2005,Dawson,45269
2005,Beaver Creek,507686
2005,Fraser,1157139
2005,Whitehorse,42102
2006,Pleasant Camp,194160
2006,Old Crow,230
2006,Dawson,49185
2006,Fraser,1236594
2006,Little Gold Creek,72410
2006,Beaver Creek,492290
2006,Whitehorse,43049
2007,Old Crow,116
2007,Beaver Creek,502065
2007,Little Gold Creek,81530
2007,Pleasant Camp,187690
2007,Whitehorse,38832
2007,Fraser,1331872
2007,Dawson,49758
2008,Dawson,46796
2008,Beaver Creek,412066
2008,Whitehorse,39529
2008,Old Crow,140
2008,Fraser,1320514
2008,Little Gold Creek,75490
2008,Pleasant Camp,165670
2009,Whitehorse,36568
2009,Pleasant Camp,147525
2009,Dawson,22037
2009,Little Gold Creek,65840
2009,Beaver Creek,397121
2009,Old Crow,205
2009,Fraser,1195563
2010,Beaver Creek,453123
2010,Whitehorse,40821
2010,Little Gold Creek,50665
2010,Pleasant Camp,147350
2010,Fraser,1357038
2010,Old Crow,115
2010,Dawson,23318
2011,Old Crow,30
2011,Dawson,2681
2011,Pleasant Camp,144965
2011,Fraser,1375824
2011,Beaver Creek,380598
2011,Whitehorse,37631
2011,Little Gold Creek,97430
2012,Old Crow,255
2012,Little Gold Creek,66705
2012,Beaver Creek,369299
2012,Fraser,1455453
2012,Dawson,2201
2012,Whitehorse,31247
2012,Pleasant Camp,138115
2013,Little Gold Creek,97050
2013,Fraser,1605255
2013,Old Crow,131
2013,Dawson,1648
2013,Pleasant Camp,136150
2013,Beaver Creek,370071
2013,Whitehorse,28947
2014,Dawson,39317
2014,Whitehorse,31599
2014,Pleasant Camp,155375
2014,Fraser,1491874
2014,Old Crow,90
2014,Little Gold Creek,64195
2014,Beaver Creek,357519
2015,Pleasant Camp,180081
2015,Whitehorse,28533
2015,Dawson,42919
2015,Little Gold Creek,68300
2015,Old Crow,114
2015,Fraser,1423955
2015,Beaver Creek,351464
2016,Old Crow,30
2016,Pleasant Camp,197990
2016,Whitehorse,29845
2016,Beaver Creek,393212
2016,Fraser,1440892
2016,Dawson,37311
2016,Little Gold Creek,74650
2017,Whitehorse,28350
2017,Dawson,41397
2017,Little Gold Creek,75550
2017,Fraser,1467611
2017,Beaver Creek,444014
2017,Old Crow,55
2017,Pleasant Camp,189379
2018,Little Gold Creek,76213
2018,Pleasant Camp,191254
2018,Whitehorse,28458
2018,Old Crow,50
2018,Dawson,40682
2018,Beaver Creek,454948
2018,Fraser,1781164
2019,Whitehorse,29371
2019,Old Crow,5
2019,Pleasant Camp,196822
2019,Fraser,1833312
2019,Dawson,35671
2019,Little Gold Creek,65991
2019,Beaver Creek,428509
2020,Dawson,146
2020,Whitehorse,1764
2020,Little Gold Creek,0
2020,Pleasant Camp,24050
2020,Old Crow,0
2020,Fraser,33106
2020,Beaver Creek,141098
2021,Old Crow,0
2021,Dawson,0
2021,Pleasant Camp,26633
2021,Beaver Creek,157032
2021,Fraser,30026
2021,Whitehorse,1890
2021,Little Gold Creek,0
2022,Whitehorse,21339
2022,Little Gold Creek,42620
2022,Fraser,403136
2022,Pleasant Camp,127668
2022,Beaver Creek,294399
2022,Dawson,23983
2022,Old Crow,5
2023,Fraser,1706489
2023,Beaver Creek,372992
2023,Old Crow,95
2023,Whitehorse,21899
2023,Dawson,33827
2023,Little Gold Creek,51539
2023,Pleasant Camp,168519
2024,Pleasant Camp,88531
2024,Old Crow,15
2024,Dawson,34480
2024,Fraser,1606880
2024,Whitehorse,6637
2024,Beaver Creek,287429
2024,Little Gold Creek,24634
